S.no,Name of Restaurants,Type of Restaurants,Rating,Rating by people,Rating_by_people,Website,Address,Area,Phone number,Outlets included,Web page
308,Cuisine de Malabar,,0,0,"
At Cuisine De Malabar, we offer meals of excellent quality and invite you to try our delicious food. The key to our success is simple: providing quality consistent food that tastes great every single time. We pride ourselves on serving our customers delicious genuine dishes like South Indian food, breakfast, etc. Eat delicious food, grab a drink, but most of all, relax! Less
",http://www.cuisinedemalabar.com,"
Lake Level, Fortune Tower, Cluster C ","
Jumeirah Lakes Towers ","
+971 55 950 2625 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/cuisine-de-malabar/detail?o=87729&m=50317
309,Cultures, Read Reviews,2.5,3,"
Cultures is a speciality Japanese and Continental restaurant concept. The captivating menu comprises soups, salads, sandwiches, sushi & smoothies. It serves highly popular, healthy and amazing Continental hot meals. Healthy food served fresh at it’s best! Less
",http://www.jackberrys.com,"
Food Court ","
Al Quoz ","
+971 4 341 8111 ",Times Square Center,https://www.theentertainerme.com/outlets/cultures/detail?o=58794&m=34336
310,Cumin & Spice,Indian,0,0,,,"
G07, Building 07 ","
","
97145868768 ",Bay Square,https://www.theentertainerme.com/outlets/cumin-spice/detail?o=94262&m=53788
311,D'fusion,Indian,5,1,"
Amid minimalist opulence, D'Fusion by Chef Suresh and Chef Shyamveer offers the flavours, textures and expressive range of true Indian cuisine as well as some spicy Indian fused Chinese cuisine. Guided by a team of skilled chefs, the restaurant is cherished for its exquisite contemporary combination of traditional spices and ingredients, clay oven based tandoors, kebabs and curries. D'Fusion even has live Indian music band playing your favourite numbers and special requests every evening. Less
",http://www.grandeur hotel.com,"
Lobby Level ","
Al Barsha ","
+971 4 371 6566 ",Grandeur Hotel,https://www.theentertainerme.com/outlets/d-fusion/detail?o=48095&m=27890
312,da gama, Read Reviews,4,46,"
Da Gama is undoubtedly the coolest and trendiest restaurant in Century Village. This venue is the expression of a vision to create a new concept that brings together culinary fusion, ingenuity and style. The restaurant & lounge offers the perfect atmosphere for guests to eat well, listen to music and kick back into the late hours of the night. Less
",http://www.wcnuae.com,"
Irish Village Complex, Century Village ","
 Al Garhoud ","
+971 4 282 3636 ",Al Garhoud,https://www.theentertainerme.com/outlets/da-gama/detail?o=43010&m=25459
313,Daalchini - Dubai,,0,0,,https://www.daalchini.com/,"
Century Village, Ground Level ","
Al Garhoud ","
+971 4 546 6509 ",Al Garhoud,https://www.theentertainerme.com/outlets/daalchini-dubai/detail?o=94661&m=53940
314,Daddy's Smoke House BBQ Grill,,0,0,,http://www.daddyssmokehouse.com,"
Al Rabia Tower, Shop #4, Ground Level ","
Majan ","
 +971 4 220 1550 ",Majan,https://www.theentertainerme.com/outlets/daddy-s-smoke-house-bbq-grill/detail?o=94392&m=53663
315,Daily Tabkha,Fast Food,0,0,,,"
Ground Level, Jebel Ali ","
","
+971 4 571 9735 ",The Manor by JA,https://www.theentertainerme.com/outlets/daily-tabkha/detail?o=93072&m=53400
316,Dairy Queen - Dubai,,0,0,"
Dairy Queen®, one of the most iconic American brands, offers a wide range of food products which include ice cream, snacks, cakes, frozen beverages, burgers, hot dogs, salads and other items. Dairy Queen® is also one of the most popular quick-service restaurant concepts in the Gulf. Over the last few years, Dairy Queen® has introduced numerous innovative menu items including novel variations to the flagship blizzard. Less
",http://www.dquae.com,"
Metro Link ","
Jebel Ali ","
+971 4 442 6278 ",Ibn Battuta Mall,https://www.theentertainerme.com/outlets/dairy-queen-dubai/detail?o=39226&m=23169
317,Dar Habak,,0,0,"
HABAK serves urban Lebanese street style food. The dishes not only taste great but are also nutritious. Less
",http://www.habakuae.com,"
Opposite Mercato Mall, Jumeirah 1 ","
Jumeirah  ","
+971 4 227 7841 ",Jumeirah,https://www.theentertainerme.com/outlets/dar-habak/detail?o=68908&m=39730
318,Darbar Mezban,,0,0,"
An exclusive Indian dining experience awaits your pleasure. You've guessed it right!. It's Darbar Mezban! Less
",,"
Al Mussala Street, Near Al Fahidi Metro Station Exit 3 ","
","
+971 58 210 3779 ",Bur Dubai,https://www.theentertainerme.com/outlets/darbar-mezban/detail?o=87734&m=50411
319,Darjeeling Cafeteria,,0,0,"
Darjeeling serves amazing Indochinese, Tibetan and Nepalese cuisine. Voted as the place with the best dumplings in town. Less
",,"
LBC Building, Shop No. 2 ","
","
+971 50 256 8182 ",Karama,https://www.theentertainerme.com/outlets/darjeeling-cafeteria/detail?o=87600&m=50345
320,Day & Night Restaurant,International,4.5,97,"
Day & Night Restaurant is an all-day dining venue with an outdoor terrace, serving breakfast, lunch and dinner with daily theme nights. Guests can either choose the à la carte menu or enjoy the International buffet with a selection of house beverages. Desserts can be enjoyed with hot beverages indoors or at the comfortable outside lounge with traditional hubbly bubbly. Less
",http://www.mercuredubaihotel.com,"
Ground Level ","
Barsha Heights ","
+971 56 171 0168 ",Mercure Dubai Barsha Heights Hotel Suites & Apartments,https://www.theentertainerme.com/outlets/day-night-restaurant/detail?o=13711&m=7840
321,Debonairs Pizza, Read Reviews,3.5,23,"
Debonairs Pizza is voted as South Africa’s favourite pizza 13 years in a row and the only pizzeria in Dubai to have a triple decker pizza. They serve delicious pizza as well as hot subs, salads, chicken wings and much more. Less
",http://debonairspizza.ae,"
Lower Ground Level, Food Court ","
Downtown Dubai ","
600 500107 ",The Dubai Mall,https://www.theentertainerme.com/outlets/debonairs-pizza/detail?o=14914&m=8620
322,Debonairs Pizza - Dubai,Pizza,0,0,,http://debonairspizza.ae,"
Shop 6, Dubai Autodrome Grandstand  ","
Dubai Motor City ","
600 500107 ",Dubai Motor City,https://www.theentertainerme.com/outlets/debonairs-pizza-dubai/detail?o=82231&m=54013
323,Deja Seafood Restaurant,,0,0,,https://dejarestaurant.com/,"
Ground Level, Al Barsha 1 ","
Al Barsha ","
+971 4 876 7354 ",Al Barsha,https://www.theentertainerme.com/outlets/deja-seafood-restaurant/detail?o=94856&m=54194
324,Delhi Gully,Indian,0,0,"
 Adding the quirk of Delhi to Dubai through the flavours that are so profoundly loved, Delhi Gully will take you to the ""bhasad"" of the streets of Delhi and the old charm of ""purani Dilli"" by lanes. Our flavourful curries and indulgent biryanis come mixed with the slapstick desi humour and the hot chaos of the city's culture. As hot and rich as it is, it keeps you coming back for more. Less
",,"
Kitchen Park - Al Abraj Street, RBC Tower Ground Level Facing The - Marasi Drive ","
","
+971 56 319 5053 ",Business Bay,https://www.theentertainerme.com/outlets/delhi-gully/detail?o=82262&m=47993
325,Deli Boutique,International,4.5,2,"
Discover the thrilling simplicity of flavourful cuisine at Deli Boutique. You can choose from a large choice of high-quality light snacks, individually prepared meals and a wide variety of tasty desserts and sweets. Less
",https://all.accor.com/hotel/6670/index.en.shtml,"
Ground Level ","
Al Barsha ","
+971 4 382 3218 ",Novotel Suites Mall of The Emirates,https://www.theentertainerme.com/outlets/deli-boutique/detail?o=2201&m=1383
326,Deli Sushi Restaurant,,0,0,"
The own passion of the founder led Deli Sushi Restaurant to where he is today. All the brand needs was created driven by the owners passionate of putting the food on the table with a lot of love, passion and more of fresh ingredients. At Deli Shushi we are seeking to create a place in the middle there between the warm house and the practical office, our story began to serve people not only good fresh food and delicious beverage but a lovely unforgettable experience. Less
",,"
Oasis Semmer Villas Community Centre Shop 7 ","
","
+971 4 344 2421 ",Dubai Silicon Oasis,https://www.theentertainerme.com/outlets/deli-sushi-restaurant/detail?o=87471&m=50232
327,Deli88,,0,0,,http://roda-hotels.com/amwaj-suites/,"
Mamsha Street ","
Jumeirah Beach Residence ","
+971 4 278 4200 ",Roda Amwaj Suites,https://www.theentertainerme.com/outlets/deli88/detail?o=92352&m=52984
328,DeliBites,Cafe,0,0,"
Enjoy freshly handcrafted delicacies at DeliBites. Try croissants, muffins, sandwiches, wraps, salads, quiches and beverages as you sit by the ice rink and watch skaters pass by. You can also order for take-away. Less
",https://www.hyatt.com/en-US/hotel/united-arab-emirates/hyatt-regency-dubai/dxbrd?src=vanity_hyattregencydubai.com,"
Ground Level ","
Deira ","
+971 4 209 6475 ",Hyatt Regency Dubai,https://www.theentertainerme.com/outlets/delibites/detail?o=25986&m=16012
329,Deniz Cafe & Restaurant,,0,0,"
The Aegean Sea nestles between Turkey and Greece, fusing these worlds through trades and stories. Travellers and locals would gather at Aegean taverns, sharing stories over fresh simple meals. Deniz, nestled in between highrises with a wink towards the sea, brings an Aegean breeze to an urban living space. It is a place where we can reconnect with friends and family over leisurely feasts. Enter Deniz and be reminded of the simple joys in life - family, stories and great food. Less
",http://www.denizrestaurant.ae,"
The Torch Building, Ground Level ","
Dubai Marina ","
+971 4 447 1606 ",Dubai Marina,https://www.theentertainerme.com/outlets/deniz-cafe-restaurant/detail?o=63176&m=37071
330,Denny's - Dubai, Read Reviews,4,80,"
Denny’s is a casual dining chain dishing up classic American comfort fare, including all-day breakfast. Less
",http://www.dennysme.com,"
Al Manara Road, Opposite Times Square ","
Sheikh Zayed Road ","
+971 4 321 2100 ",Sheikh Zayed Road,https://www.theentertainerme.com/outlets/denny-s-dubai/detail?o=21140&m=12705
331,Desi Bistro,Indian,0,0,"
Desi Bistro is a highly popular vegetarian Indian cuisine concept. From amazing vegetarian tandoori kebabs, curries and tandoori bread to chaat, snacks, thalis, dosas, pizza and pasta, it has it all. The luscious and tasteful food will compel you to visit again and again. Less
",http://www.jackberrys.com,"
Al Fahidi Souq, Meena Bazaar ","
Bur Dubai ","
+971 4 358 8835 ",Bur Dubai,https://www.theentertainerme.com/outlets/desi-bistro/detail?o=58811&m=34333
332,Desi Dhaba,,0,0,,,"
Mezzanine Level ","
","
+971 4 263 2248 ",Dubai Grand Hotel By Fortune,https://www.theentertainerme.com/outlets/desi-dhaba/detail?o=94550&m=54029
333,Dessertino Shakes and More, Read Reviews,4.5,13,"
Dessertino Shakes and More serves delicious shakes, ice cream and desserts. The ambience is cosy and nice and the staff is friendly. Less
",http://www.dessertinoglobal.com/,"
Al Bukhash Building, Shop 3 ","
Al Barsha ","
+971 4 323 3335 ",Al Barsha,https://www.theentertainerme.com/outlets/dessertino-shakes-and-more/detail?o=91108&m=52449
334,Diademas Cigar Lounge,Bar Food,4,5,"
The Diademas Cigar Lounge boasts the finest collection of cigars from across the globe. Take pleasure in a wide range of legendary Cuban cigars while you indulge in a selection of great spirits or sample our exquisite cocktails from the collection of old-fashioned infused drinks. Pay homage to the great classics surrounded by opulent luxury. Opening Hours: 5:00pm - 2:00am Less
",http://www.h-hotel.com/dubai/en/dining_the-diademas-cigar-lounge.html,"
1st Level ","
Sheikh Zayed Road ","
+971 4 501 8888 ",The H Dubai,https://www.theentertainerme.com/outlets/diademas-cigar-lounge/detail?o=21744&m=12997
335,Dickey's Barbecue Pit, Read Reviews,4,23,"
Welcome to Dickey’s - we are home to the world-famous, pit-smoked meats. With our origins deep in the heart of Dallas, Texas, Dickey’s was first introduced to the market in 1941 by the Dickey family. Offering a traditional Texan barbecue, our beef brisket, beef ribs, lamb shank, chicken and beef sausage are all slow smoked in our special pit smoker, for up to 14 hours, providing that delicious hickory smoked flavour. Today, the Dallas-based, family-run barbecue franchise is now in Yas Mall and JBR in the UAE. Less
",http://www.dickeys.ae,"
The Walk, Next to Five Guys ","
Jumeirah Beach Residence ","
+971 04 399 0040 ",Jumeirah Beach Residence,https://www.theentertainerme.com/outlets/dickey-s-barbecue-pit/detail?o=85298&m=49482
336,DineBest - Dubai, Read Reviews,4,21,"
A flavourful steak is a choreographed dance of premium meat, delicate sauces and delectable toppings to make your palate sing with flavour. We combine the healthiest, richest ingredients to create delicious food at reasonable prices. Since 2011, DineBest restaurants expanded to cover a wide area of the UAE and major cities like Abu Dhabi, Dubai, Sharjah, Fujairah and Al Ain. Less
",https://www.dinebest.me/vip-deal/,"
2nd Level ","
Sharjah ","
+971 2 566 4333 ",Sahara Centre,https://www.theentertainerme.com/outlets/dinebest-dubai/detail?o=21702&m=12959
